Title,Location,Company,Posting,Salary,Salary_Low,Salary_High,Unit,Currency
Data Center Lead,Jakarta Raya,Jones Lang LaSalle Property Consultants Pte Ltd,29 hari yang lalu,,,,,
Corporate & Litigation Lawyer,Jakarta Selatan,Soengkar & Partners Law Firm,21 hari yang lalu,,,,,
Casual Leasing Staff,Jakarta Utara,ASRI (a subsidiary of Agung Sedayu Group),27 hari yang lalu,,,,,
Senior Sales Engineer (Material Handling Equipment),Jakarta Selatan,PT Jebsen & Jessen Technology Indonesia,16 hari yang lalu,,,,,
Digital Marketing Manager,Ciracas,PT Eka Bogainti,14 hari yang lalu,,,,,
Japanese Speaker Marketing Manager,Jakarta Pusat,PT OS Selnajaya Indonesia,2 hari yang lalu,Rp 18.000.000 – Rp 23.000.000 per month,18000000.0,23000000.0,month,IDR
SENIOR SALES REPRESENTATIVE (COMPRESSOR ROTATING EQUIPMENT),Jakarta Selatan,PT Rieckermann Indonesia,18 hari yang lalu,,,,,
Toll Manufacturing Export and Acquisition (TMEA) Associate (Contractual),Jakarta Selatan,"PT Darya Varia Laboratoria, Tbk",15 hari yang lalu,,,,,
Enviroment Engineer,Cikarang Pusat,Daikin Industries Indonesia,6 hari yang lalu,,,,,
Procurement Manager (Data Center),Jakarta Pusat,Princeton Digital Group (Singapore) SG1 Pte Ltd,5 hari yang lalu,,,,,
Interior Project Manager,Jakarta Selatan,PT ARKADIA SINERGI INDONESIA (Arkadia Works),14 hari yang lalu,,,,,
Desk Collection Staff (Fintech P2P),Jakarta Raya,PT Anugerah Digital Indonesia,20 hari yang lalu,,,,,
Procurement Business Partner/Analyst,Jakarta Raya,"PT SMART,Tbk",27 hari yang lalu,,,,,
Web Security Engineer,Jakarta Pusat,PT Prima Integrasi Solusindo,26 hari yang lalu,,,,,
Account Executive,Jakarta Utara,PT INSERASENA (POLYGON GROUP),29 hari yang lalu,,,,,
Security & Parking Staff – Menara Jakarta,Kemayoran,ASRI (a subsidiary of Agung Sedayu Group),15 hari yang lalu,,,,,
Account Executive Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,19 hari yang lalu,Rp 6.400.000 – Rp 9.000.000 per month,6400000.0,9000000.0,month,IDR
Exim Staff,Jakarta Selatan,Fuji Recruitment (PT. Fuji Bijak Prestasi),20 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month,5000000.0,6500000.0,month,IDR
Sales Project Manager (B2C),Jakarta Timur,PT Serasi Autoraya (Member of Astra),9 hari yang lalu,,,,,
